ROOT,Level 1,Level 2,Level 3,Level 4,Level 5
Home,,,,,
,Dashboard,,,,
,,Overview,,,
,,Activity Feed,,,
,,Notifications,,,
,,,Notification Settings,,
,Catalog,,,,
,,Products,,,
,,,Product Detail,,
,,,,Variants,
,,,,,Variant Detail
,,,,Media,
,,,,Pricing,
,,,,,Tier Pricing
,,,Add Product,,
,,Categories,,,
,,,Category Detail,,
,,,,Subcategories,
,,,,,Subcategory Detail
,,Price Lists,,,
,,,Price List Detail,,
,,,,Customer Assignment,
,,Inventory,,,
,,,Stock Levels,,
,,,Warehouses,,
,,,,Warehouse Detail,
,Orders,,,,
,,All Orders,,,
,,,Order Detail,,
,,,,Line Items,
,,,,,Product Info
,,,,Shipping,
,,,,Payment,
,,Draft Orders,,,
,,,Draft Detail,,
,,,,Add Products,
,,,,,Product Search
,,Fulfillment,,,
,,,Shipments,,
,,,,Shipment Detail,
,,,,,Tracking
,,Returns,,,
,,,Return Detail,,
,,,,Refund,
,Customers,,,,
,,Accounts,,,
,,,Account Detail,,
,,,,Order History,
,,,,,Order Detail
,,,,Contacts,
,,,,Credit & Terms,
,,Contacts,,,
,,,Contact Detail,,
,,,,Activity Log,
,,Customer Groups,,,
,,,Group Detail,,
,,,,Pricing Rules,
,,,,,Rule Detail
,,Credit Limits,,,
,Invoicing,,,,
,,Invoices,,,
,,,Invoice Detail,,
,,,,Line Items,
,,,,,Tax Breakdown
,,,,Payment History,
,,Credit Notes,,,
,,,Credit Note Detail,,
,,Payment Terms,,,
,,,Terms Detail,,
,Reports,,,,
,,Sales,,,
,,,By Region,,
,,,,By Customer,
,,,,,By Product
,,,By Product,,
,,,By Rep,,
,,Inventory,,,
,,,Stock Movement,,
,,,,By Warehouse,
,,Customer Insights,,,
,,,Purchase Patterns,,
,,,,Segment Analysis,
,,,,,Cohort View
,,Export Data,,,
,Settings,,,,
,,Company Profile,,,
,,Users & Roles,,,
,,,User Detail,,
,,,,Permissions,
,,,,,Resource Access
,,,Roles,,
,,,,Role Detail,
,,,,,Permission Matrix
,,,Invite User,,
,,Integrations,,,
,,,ERP,,
,,,,Field Mapping,
,,,,,Sync Logs
,,,Payment Gateway,,
,,,Shipping Providers,,
,,Notifications,,,
,Support,,,,
,,Help Center,,,
,,,Getting Started,,
,,,,Quick Start Guide,
,,,FAQs,,
,,Tickets,,,
,,,Ticket Detail,,
,,,,Messages,
,,,,,Attachments
,,Contact Sales,,,
