ROOT,Level 1,Level 2,Level 3,Level 4,Level 5
Lioncrest Website,,,,,
,Home,,,,
,,Header (Investor Login Dropdown),,,
,,Hero (Differentiator + See How We Invest CTA + Partner Photo),,,
,,Latest Insights (Recent Articles & Content),,,
,,Platform Strategy Cards (Flexible Multi-Fund Structure),,,
,,Portfolio ("Funding Founders Not Logos" cards),,,
,,Co-investors (Social Proof & Syndicate Partners),,,
,,Team Teaser (Hover Cards),,,
,,Get In Touch (Universal CTA Block),,,
,,Footer (Newsletter Capture),,,
,Portfolio,,,,
,,Portfolio Grid ("Funding Founders Not Logos" cards),,,
,,Get In Touch (Universal CTA Block),,,
,,Portfolio Profile Page,,,
,,,Company Overview,,
,,,Similar Companies,,
,Team,,,,
,,Team Grid (Hover Cards with Bio/Role/Experience),,,
,,Get In Touch (Universal CTA Block),,,
,,Team Member Detail,,,
,,,Bio & Highlights,,
,,,Contact Info,,
,Our Funds,,,,
,,Equity Fund,,,
,,,Hero Stats (Investment Criteria),,
,,,Sectors + Team Behind This Fund (Hover Bios),,
,,,How We Value-Add ("We help our companies with"),,
,,,Trust Signal (ANRA/Lassen Peak Case Studies),,
,,,,Our Role / How We Helped,
,,,Portfolio (subset),,
,,,Get In Touch (Universal CTA Block),,
,,,Latest Insights (subset),,
,,,FAQ,,
,,Prospeq - Credit Fund,,,
,,,Hero Stats (Investment Criteria),,
,,,Sectors + Team Behind This Fund (Hover Bios),,
,,,How We Value-Add ("We help our companies with"),,
,,,Trust Signal (AptDeco/Compliance.ai Case Studies),,
,,,,Our Role / How We Helped,
,,,Portfolio (subset),,
,,,Get In Touch (Universal CTA Block),,
,,,Latest Insights (subset),,
,,,FAQ,,
,Our Approach,,,,
,,Hero (Strategy-Focused Philosophy Headline),,,
,,Co-investors / Investors Who Trust Us block,,,
,,The Process (Greylock-style horizontal timeline),,,
,,What We Are / What We Are Not,,,
,,Its In Our Name (Moved Brand Moment),,,
,,Get In Touch (Universal CTA Block),,,
,,Latest Insights (subset),,,
,,FAQ (Firm-level questions only),,,
,Insights (News & Thought Leadership),,,,
,,Insights Hub (All Articles Feed),,,
,,Article Details Page (Template v2.3),,,
,,,Progress indicator & "Minutes Left" helper,,
,,,TL;DR Card (with skip link),,
,,,Two-Column Body Layout,,
,,,,Left Column: Body copy + Callouts + Newsletter CTA,
,,,,Right Column (Sticky Sidebar): Article TOC + Related Article Teaser,
,,,Author Bio Box & Share Strip,,
,,,Double Fund CTA Card (Equity & Credit),,
,Events (Invite-Only Platform),,,,
,,Private Event Landing Page (Incognito / Unlisted URL),,,
,,,Hero & Event Details (Date/Venue),,
,,,Embed Registration Form (Accommodates Cyndee's embed flow),,
,Contact (LP & Founder Hub),,,,
,,LP Contact Page,,,
,,,Tab: Book a Meeting (Calendly embed),,
,,,Tab: Send a Message (Form),,
,,,Socials & Direct Email Info,,
,,,Cross-link: Looking for Founder form?,,
,,Founder Contact Page,,,
,,,Tab: Equity Fund Application (ARR/Sector),,
,,,Tab: Credit Fund Application (Revenue/Sector),,
,,,Socials & Direct Email Info,,
,,,Cross-link: Looking for LP form?,,
